tract,Name,Population_Density_in_2010
E05000389,Kensington and Chelsea,"9,768"
E05000390,Kensington and Chelsea,"15,737"
E05000391,Kensington and Chelsea,"9,478"
E05000392,Kensington and Chelsea,"11,799"
E05000393,Kensington and Chelsea,"15,035"
E05000394,Kensington and Chelsea,"15,400"
E05000395,Kensington and Chelsea,"16,048"
E05000396,Kensington and Chelsea,"13,396"
E05000397,Kensington and Chelsea,"8,006"
E05000398,Kensington and Chelsea,"12,735"
E05000399,Kensington and Chelsea,"12,039"
E05000400,Kingston upon Thames,"3,817"
E05000401,Kingston upon Thames,"7,355"
E05000402,Kingston upon Thames,"6,074"
E05000403,Kingston upon Thames,"12,765"
E05000404,Kingston upon Thames,"4,826"
E05000405,Kingston upon Thames,"1,470"
E05000406,Kingston upon Thames,"2,570"
E05000407,Kingston upon Thames,"6,359"
E05000408,Kingston upon Thames,"6,598"
E05000409,Kingston upon Thames,"8,450"
E05000410,Kingston upon Thames,"5,673"
E05000411,Kingston upon Thames,"4,466"
E05000412,Kingston upon Thames,"8,956"
E05000413,Kingston upon Thames,"6,962"
E05000414,Kingston upon Thames,"4,219"
E05000415,Kingston upon Thames,"6,554"
E05000416,Lambeth,"6,714"
E05000417,Lambeth,"15,049"
E05000418,Lambeth,"10,469"
E05000419,Lambeth,"13,724"
E05000420,Lambeth,"14,950"
E05000421,Lambeth,"20,537"
E05000422,Lambeth,"9,497"
E05000423,Lambeth,"8,132"
E05000424,Lambeth,"10,569"
E05000425,Lambeth,"18,520"
E05000426,Lambeth,"13,567"
E05000427,Lambeth,"14,002"
E05000428,Lambeth,"11,260"
E05000429,Lambeth,"18,412"
E05000430,Lambeth,"12,575"
E05000431,Lambeth,"8,656"
E05000432,Lambeth,"11,728"
E05000433,Lambeth,"13,304"
E05000434,Lambeth,"9,572"
E05000435,Lambeth,"15,988"
E05000436,Lambeth,"14,917"
E05000437,Lewisham,"5,228"
E05000438,Lewisham,"6,677"
E05000439,Lewisham,"11,342"
E05000440,Lewisham,"8,449"
E05000441,Lewisham,"9,131"
E05000442,Lewisham,"6,450"
E05000443,Lewisham,"12,607"
E05000444,Lewisham,"9,085"
E05000445,Lewisham,"6,522"
E05000446,Lewisham,"9,475"
E05000447,Lewisham,"8,783"
E05000448,Lewisham,"11,733"
E05000449,Lewisham,"10,357"
E05000450,Lewisham,"9,888"
E05000451,Lewisham,"9,800"
E05000452,Lewisham,"9,591"
E05000453,Lewisham,"11,503"
E05000454,Lewisham,"6,958"
E05000455,Merton,"7,751"
E05000456,Merton,"4,320"
E05000457,Merton,"10,159"
E05000458,Merton,"4,009"
E05000459,Merton,"8,532"
E05000460,Merton,"10,590"
E05000461,Merton,"11,390"
E05000462,Merton,"7,921"
E05000463,Merton,"9,475"
E05000464,Merton,"7,292"
E05000465,Merton,"5,010"
E05000466,Merton,"5,294"
E05000467,Merton,"5,001"
E05000468,Merton,"5,479"
E05000469,Merton,"5,507"
E05000470,Merton,"6,022"
E05000471,Merton,"9,507"
E05000472,Merton,"1,378"
E05000473,Merton,"5,553"
E05000474,Merton,"5,177"
E05000475,Newham,"2,565"
E05000476,Newham,"19,348"
E05000477,Newham,"7,155"
E05000478,Newham,"11,028"
E05000479,Newham,"6,923"
E05000480,Newham,"16,596"
E05000481,Newham,"16,134"
E05000482,Newham,"9,148"
E05000483,Newham,"13,662"
E05000484,Newham,"15,895"
E05000485,Newham,"23,619"
E05000486,Newham,"20,557"
E05000487,Newham,"9,524"
E05000488,Newham,"11,966"
E05000489,Newham,"17,212"
E05000490,Newham,"13,025"
E05000491,Newham,"3,219"
E05000492,Newham,"7,375"
E05000493,Newham,"11,671"
E05000494,Newham,"12,498"
E05000495,Redbridge,"1,857"
E05000496,Redbridge,"8,891"
E05000497,Redbridge,"4,879"
E05000498,Redbridge,"10,628"
E05000499,Redbridge,"8,601"
E05000500,Redbridge,"5,550"
E05000501,Redbridge,"13,893"
E05000502,Redbridge,"5,720"
E05000503,Redbridge,"3,761"
E05000504,Redbridge,"6,317"
E05000505,Redbridge,"8,687"
E05000506,Redbridge,"2,468"
E05000507,Redbridge,"14,558"
E05000508,Redbridge,"7,911"
E05000509,Redbridge,"3,686"
E05000510,Redbridge,"8,539"
E05000511,Redbridge,"5,547"
E05000512,Redbridge,"7,989"
E05000513,Redbridge,"6,523"
E05000514,Redbridge,"10,493"
E05000515,Redbridge,"2,430"
E05000516,Richmond upon Thames,"3,435"
E05000517,Richmond upon Thames,"1,904"
E05000518,Richmond upon Thames,"5,694"
E05000519,Richmond upon Thames,"1,160"
E05000520,Richmond upon Thames,"1,530"
E05000521,Richmond upon Thames,"5,003"
E05000522,Richmond upon Thames,"4,145"
E05000523,Richmond upon Thames,"5,707"
E05000524,Richmond upon Thames,"3,345"
E05000525,Richmond upon Thames,"5,972"
E05000526,Richmond upon Thames,"4,281"
E05000527,Richmond upon Thames,"6,208"
E05000528,Richmond upon Thames,"4,257"
E05000529,Richmond upon Thames,"6,096"
E05000530,Richmond upon Thames,"2,560"
E05000531,Richmond upon Thames,"5,654"
E05000532,Richmond upon Thames,"4,541"
E05000533,Richmond upon Thames,"6,356"
E05000534,Southwark,"14,807"
E05000535,Southwark,"17,106"
E05000536,Southwark,"10,960"
E05000537,Southwark,"19,829"
E05000538,Southwark,"3,925"
E05000539,Southwark,"13,244"
E05000540,Southwark,"12,379"
E05000541,Southwark,"16,137"
E05000542,Southwark,"15,329"
E05000543,Southwark,"10,636"
E05000544,Southwark,"18,418"
E05000545,Southwark,"11,196"
E05000546,Southwark,"17,867"
E05000547,Southwark,"6,548"
E05000548,Southwark,"12,726"
E05000549,Southwark,"10,796"
E05000550,Southwark,"15,428"
E05000551,Southwark,"10,020"
E05000552,Southwark,"8,415"
E05000553,Southwark,"12,261"
E05000554,Southwark,"4,660"
E05000555,Sutton,"2,162"
E05000556,Sutton,"3,696"
E05000557,Sutton,"4,576"
E05000558,Sutton,"5,459"
E05000559,Sutton,"1,519"
E05000560,Sutton,"2,833"
E05000561,Sutton,"5,837"
E05000562,Sutton,"8,217"
E05000563,Sutton,"5,599"
E05000564,Sutton,"9,999"
E05000565,Sutton,"6,086"
E05000566,Sutton,"8,243"
E05000567,Sutton,"6,384"
E05000568,Sutton,"7,684"
E05000569,Sutton,"7,330"
E05000570,Sutton,"6,439"
E05000571,Sutton,"6,550"
E05000572,Sutton,"6,641"
E05000573,Tower Hamlets,"18,960"
E05000574,Tower Hamlets,"17,423"
E05000575,Tower Hamlets,"9,946"
E05000576,Tower Hamlets,"9,893"
E05000577,Tower Hamlets,"10,686"
E05000578,Tower Hamlets,"19,471"
E05000579,Tower Hamlets,"15,935"
E05000580,Tower Hamlets,"17,372"
E05000581,Tower Hamlets,"18,284"
E05000582,Tower Hamlets,"16,838"
E05000583,Tower Hamlets,"12,627"
E05000584,Tower Hamlets,"18,963"
E05000585,Tower Hamlets,"10,124"
E05000586,Tower Hamlets,"16,964"
E05000587,Tower Hamlets,"19,038"
E05000588,Tower Hamlets,"20,044"
