"tract","Name","Population_Density_in_2010"
E05000458,Merton,4009
E05000459,Merton,8532
E05000460,Merton,10590
E05000461,Merton,11390
E05000462,Merton,7921
E05000463,Merton,9475
E05000464,Merton,7292
E05000465,Merton,5010
E05000466,Merton,5294
E05000467,Merton,5001
E05000468,Merton,5479
E05000469,Merton,5507
E05000470,Merton,6022
E05000471,Merton,9507
E05000472,Merton,1378
E05000473,Merton,5553
E05000474,Merton,5177
E05000475,Newham,2565
E05000476,Newham,19348
E05000477,Newham,7155
E05000478,Newham,11028
E05000479,Newham,6923
E05000480,Newham,16596
E05000481,Newham,16134
E05000482,Newham,9148
E05000483,Newham,13662
E05000484,Newham,15895
E05000485,Newham,23619
E05000486,Newham,20557
E05000487,Newham,9524
E05000488,Newham,11966
E05000489,Newham,17212
E05000490,Newham,13025
E05000491,Newham,3219
E05000492,Newham,7375
E05000493,Newham,11671
E05000494,Newham,12498
E05000495,Redbridge,1857
E05000496,Redbridge,8891
E05000497,Redbridge,4879
E05000498,Redbridge,10628
E05000499,Redbridge,8601
E05000500,Redbridge,5550
E05000501,Redbridge,13893
E05000502,Redbridge,5720
E05000503,Redbridge,3761
E05000504,Redbridge,6317
E05000505,Redbridge,8687
E05000506,Redbridge,2468
E05000507,Redbridge,14558
E05000508,Redbridge,7911
E05000509,Redbridge,3686
E05000510,Redbridge,8539
E05000511,Redbridge,5547
E05000512,Redbridge,7989
E05000513,Redbridge,6523
E05000514,Redbridge,10493
E05000515,Redbridge,2430
E05000516,Richmond upon Thames,3435
E05000517,Richmond upon Thames,1904
E05000518,Richmond upon Thames,5694
E05000519,Richmond upon Thames,1160
E05000520,Richmond upon Thames,1530
E05000521,Richmond upon Thames,5003
E05000522,Richmond upon Thames,4145
E05000523,Richmond upon Thames,5707
E05000524,Richmond upon Thames,3345
E05000525,Richmond upon Thames,5972
E05000526,Richmond upon Thames,4281
E05000527,Richmond upon Thames,6208
E05000528,Richmond upon Thames,4257
E05000529,Richmond upon Thames,6096
E05000530,Richmond upon Thames,2560
E05000531,Richmond upon Thames,5654
E05000532,Richmond upon Thames,4541
E05000533,Richmond upon Thames,6356
E05000534,Southwark,14807
E05000535,Southwark,17106
E05000536,Southwark,10960
E05000537,Southwark,19829
E05000538,Southwark,3925
E05000539,Southwark,13244
E05000540,Southwark,12379
E05000541,Southwark,16137
E05000542,Southwark,15329
E05000543,Southwark,10636
E05000544,Southwark,18418
E05000545,Southwark,11196
E05000546,Southwark,17867
E05000547,Southwark,6548
E05000548,Southwark,12726
E05000549,Southwark,10796
E05000550,Southwark,15428
E05000551,Southwark,10020
E05000552,Southwark,8415
E05000553,Southwark,12261
E05000554,Southwark,4660
E05000555,Sutton,2162
E05000556,Sutton,3696
E05000557,Sutton,4576
E05000558,Sutton,5459
E05000559,Sutton,1519
E05000560,Sutton,2833
E05000561,Sutton,5837
E05000562,Sutton,8217
E05000563,Sutton,5599
E05000564,Sutton,9999
E05000565,Sutton,6086
E05000566,Sutton,8243
